Disease,Treatments
Age-Related Macular Degeneration ( Amd ),External Beam Radiation Therapy
Aids,Lindinavir
Airway Obstruction,Apc
Alkaline Reflux,Total Gastrectomy
Allergic Asthma,Acupuncture
Allergic Diseases,Prolonged Cortisone Therapy
Alzheimer 'S Disease,New Drug Treatment; Tha
Ami,Aspirin; Beta Blockers; Thrombolytic Therapy
Anaerobic Pleuropulmonary Infections,Combination Of Antibiotic Therapy And Surgical Interventions
Anal Cancer,Concomitant Radiotherapy And Chemotherapy; Radiotherapy
Anasarca And Acute Renal Failure,Continuous Arteriovenous Hemofiltration
Anemia Of End-Stage Renal Disease,Androgens
Angina,"Angioplasty; Repeat Angioplasty , Bypass Surgery , Or Medical Therapy"
Anorectal Anomalies,Anal Invasive Treatment
Aom,"Amoxicillin; Amoxicillin , Cefuroxime Axetil , And Ceftriaxone; Systemic Antibiotics"
Aphthous Ulcers,Thalidomide
Apl,Allogeneic Bmt
Arrhythmogenic Right Ventricular Dystrophy,Amiodarone
Arthritis,Celecoxib; Trk-530
Asthma,Chemotherapy; Corticosteroids; Dental Treatment; Drugs; Fluticasone Propionate; Inhaled Fluticasone Propionate; Inhaled Sodium Cromoglycate; Repeated Inhaled Doses Of Fp; Salbutamol; Self-Management; T-Helper Type 2 Cell-Directed Therapy
Asthma And Exercise-Induced Asthma,Salbutamol
Atherosclerosis,Ldl Apheresis
Atopic Dermatitism,Tacrolimus And Ascomycin Derivatives
Atrial Fibrillation,Quinidine Sulphate
Atrophic Gastritis,Lansoprazole
Attention Deficit Hyperactivity Disorder ( Adhd ),Methylphenidate
Atypical Carcinoid ( Ac ),Lung Resection
Autism,Inositol
Autoimmune Bullous Disorders,Hdivig
Autoimmune Hemolytic Anemia,Heparin
Autoimmune Hepatitis,Tj-135
Autoimmune Thrombocytopenic Purpura,Splenectomy
B16 Melanoma,Adenosine Triphosphate; Buthionine Sulfoximine
Baclofen Overdose,Atropine
Bacterial Meningitis,Cephalosporin ( Cefotaxime Or Ceftriaxone ) And Vancomycin; Dexamethasone Therapy; New Vaccines
Bacterium,Combined Therapy
Balding,Medical Treatments
Barotrauma,Ventilation Strategy
Barrett 'S Esophagus,Acid Suppression Therapy
Barrett Esophagus,Argon Plasma Coagulation With Acid Suppression
Benign Prostatic Hyperplasia,Phytogenic Drugs; Surgical Resection
Benign Prostatic Hyperplasia ( Bph ),Pharmacological Treatment
Benign-Phase Cml,Interferon Alfa-2A
Bile Duct Cancer,Curative Pancreaticoduodenectomy
Biliary Dyskinesia,Cholecystectomy
Biliary Dyskinesia Symptoms,Cholecystectomy
Biliary Stenosis,Injection Of Minocycline Hydrochloride
Bipolar Disorder,Lithium Carbonate; Omega3 Fatty Acids; Valproate
Bladder Tumors,Catheter Treatment; Endoscopic Intervention; Laparoscopic Removal; Laparoscopic Treatment; Laser Treatment
Bleeding,Surgical Or Radiological Methods
Bleeding Duodenal Ulcer,Endoscopic Hemostasis
Bone Loss,Dietary Supplementation With Calcium And Vitamin D
Bone Marrow Disease,Ara-C; Fludarabine
Bone Pain,Injection
Bos,Therapy With Extracorporeal Photopheresis
Bos And Concurrent Acute Rejection,Therapy With Extracorporeal Photopheresis
Bph,Pharmacological Treatment
Brain Hemorrhage,Antiplatelet Therapy; Atrial Fibrillation
Brain Metastases From Nsclc,Chemotherapy; Combination Chemotherapy
Brain Serotonin Neurotoxicity,Dexfenfluramine; Fenfluramine
Breast Cancer,High-Dose Chemotherapy With Autologous Hematopoietic Stem-Cell Support; Hormone Replacement Therapy; Standard Versus High-Dose Therapy; Subcutaneous Mastectomy; Systemic Therapy
Breech Presentation At Term,Magnetic-Resonance Pelvimetry
Bronchial Asthma,Non-Steroidal Anti-Inflammatory Therapy
Bronchiectasis,Antibiotics And Surgery; Surgical Therapy
Bronchiectasis And Respiratory Failure,Bilateral Lung Transplantation
Bronchiolitis Obliterans Occurring As A Late Manifestation Of Lupus Erythematosus,Cyclophosphamide Therapy
Bronchogenic Carcinoma,Carinal Plus Lobar Resections; Carinal Pneumonectomies; Carinal Resections; Isolated Carinal Resections; Resection
Bronchogenic Carcinoma Involving The Carina,Carinal Resection
Brugada Syndrome,Isoprenaline
Burn,Therapy
Cancer,Chemotherapy; Gene Therapy; Heat Shock Protein Preparations Derived From Autologous Cancer; Hormone Therapy; Immunotherapy; Matrix Metalloproteinase Inhibitors; Recombinant Human Granulocyte Colony-Stimulating Factor ( Rhg-Csf ); Shark Cartilage; Short-Acting Dihydropyridines; Therapy
Cancer Of The Lung,Radiation Therapy
Cancer Risks,Micronutrients
Cancers,Heat Shock Protein Preparations Derived From Autologous Cancer; Immunotherapy; Oxaliplatin
Carbon Monoxide Poisoning,Hyperbaric Oxygen; Oxygen Therapy
Carcinoma,Esophagectomy
Carcinoma Of The Lung,Curative Surgery
Cardiac Arrest,Bolus Thrombolytic Infusions
Cardiac Defects,Right Thoracotomy
Cardiac Events,Short-Acting Dihydropyridines
Cardiac Insufficiency,Beta-Blockers
Cardiovascular Complications,Dialysis
Cardiovascular Disease,Aspirin Therapy
Cardiovascular Diseases,Calcium Antagonists
Cardiovascular Morbidity And Mortality After Myocardial Infarction,Antiplatelet Therapy With Aspirin And Systematic Anticoagulation With Warfarin
Cardiovascular Mortality And Morbidity,Calcium Antagonists; Diltiazem; Verapamil
Cataract,Pccc; Posterior Optic Capture; Surgery; Surgery With Pc Iol Implantation; Vitrectomy
Cavernous Hemangiomas,Neodymium : Yag Laser
Cbd Stones,Es; Surgical Clearance
Cerebral Infarct,Central Venous Cannulation
Cerebral Metastases From Nonsmall Cell Cancer,Gamma Knife Radiosurgery
Cerebral Palsy,Hyperbaric Oxygen Therapy
Cerebrovascular Disease,Dipyridamole Plus Aspirin
Cgm,Antimicrobial/ Antituberculous Agents
Challenge Orthotopic Tumors,Admil-12 And Admil-12/B7
Childhood Pneumonia,Vaccine
"Chlamydia Trachomatis , Serovar E",Intranasal Immunization
Cholangiocarcinoma,Hepatectomy; Trail
Cholestasis,Inchinko-To ( Tj-135 )
Choroidal Neovascularization,External Beam Radiation Therapy
Choroidal Neovascularization ( Cnv ),External Beam Radiation Therapy
Chronic Anal Fissure,Botulinum Toxin; Nitroglycerin Ointment
Chronic Asthma,Ibdp Therapy
Chronic Bronchitis,Cefdinir; Levofloxacin; Loracarbef
Chronic Hepatitis B,Lamivudine
Chronic Hepatitis B Virus Infection,Combined Interferon And Lamivudine Therapy
Chronic Hepatitis C,Combination Therapy ( Interferon Alfa And Ribavirin ); Combination Therapy With Interferon Alfa And Ribavirin; Combination Therapy With Interferon-Alpha ( Ifn Alpha ) Plus Ribavirin; Interferon-Alpha Monotherapy; Interferon-Antibodies; Ribavirin; Ribavirin/Interferon-Alpha Combination Therapy
Chronic Hepatitis C Resistant To Interferon,Interferon Plus Placebo; Interferon-Alpha Plus Ursodeoxycholic Acid
Chronic Infection With Hepatitis C Virus,Interferon Alpha2B Plus Placebo; Interferon Alpha2B Plus Ribavirin
Chronic Lymphocytic Leukemia,Oral Fludarabine
Chronic Myelogenous Leukemia ( Cml ),Interferons
Chronic Obstructive Pulmonary Disease,Lorazepam
Chronic Renal Failure,Epoetin; Parenteral Nutrition ( Pn ) Solutions; Pn
Chronic Stable Angina Pectoris,External Counterpulsation
Chronic Thromboembolic Pulmonary Hypertension,Surgery
Cisplatin-Induced Cumulative Renal Toxicity,Amifostine; Irradiation Therapy
Cisplatin-Induced Emesis,"Neurokinin 1 Receptor Antagonist Cj-11 , 974"
Clinically Localized Prostate Cancer,Iodine 125 Interstitial Radiotherapy; Radical Prostatectomy
Cmv Retinitis,Intravenous Cidofovir Therapy
Cold Symptoms,Zinc Lozenges
Colds,Antibiotics; Pl Granule; Vitamin C
Colic,Casein Hydrolysate
Colles ' Fractures,Haematoma Block; Intravenous Regional Anaesthesia
Colon Cancer,5-Fu And Low-Dose Isovorin ( F.I )
Colorectal Cancer,Chemotherapy; Docosahexanoic Acid ( Dha ) -Concentrated Fish Oil Capsules; Elective Surgery; Fluoropyrimidine; Hepatic Arterial Chemotherapy; Resection; Surgery; Uft
Colorectal Carcinoma,Video-Assisted Thoracoscopic Surgical ( Vats ) Therapeutic Pulmonary Metastasectomy
Colorectal Metastases,Therapeutic Vats Metastasectomy; Therapeutic Vats Resection
Colorectal Polyps,Dha-Concentrated Fish Oil Capsules_Hlk427554600 ( 2.2 G Of Dha And 0.6 G Of Eicosapentanoic Acid ( Epa ) Per Day )
Common Cold,Acupuncture; Antimicrobials; Pseudoephedrine Plus Acetaminophen; Zinc; Zinc Gluconate Lozenges
Common Cold Infections,Vitamin C
Common Colds,Zinc Lozenges
Common Respiratory Pathogens,Levofloxacin
Community-Acquired Pneumonia,Levofloxacin
Complicated Cancer Of The Large Bowel,Extended Resection
Con A-Induced Hepatitis,Tj-135
Concanavalin A ( Con A ) -Induced Hepatitis,Tj-135
Concanavalin A-Induced Hepatitis,Japanese Herbal Medicine 'Inchinko-To ' ( Tj-135 )
Concomitant Thrombocytosis,Hydroxyurea; Megakaryocyte Inhibitor Anagrelide ( Agrelin )
Confirmed Acute Myocardial Infarction,Bolus Thrombolytic Infusions
Congestion,Nasal Decongestant
Congestive Heart Failure,Diuretic Treatment
Constipation,Cisapride
Coronary Artery Disease,Catheter Treatment; Endoscopic Intervention; Laparoscopic Removal; Laparoscopic Treatment; Laser Treatment
Coronary Dissection And Total Coronary Occlusion,Emergency Coronary Surgery
Coronary Heart Disease,Drug Therapy; Fibric Acid Derivatives; Lipid Therapy
Coronary-Artery Disease,Antichlamydial Antibiotics
Coronary-Artery Thrombi,Accelerated Infusion Of Alteplase ( Tissue Plasminogen Activator )
Cpr,Bolus Thrombolytic Infusions
Crawling Lice,Pediculicide Containing 1 % Permethrin
Crohn 'S Disease,Steroids
Croup,Corticosteroids; Glucocorticoids; Steroid Delivery
Cryptococcal Meningitis,Antiretroviral Therapy
Cytomegalovirus ( Cmv ) Infection,Highly Active Antiretroviral Therapy ( Haart )
Damaged Mucosal Tissues,Ahf
De Quervain 'S Tenosynovitis,Steroids
Decompression Accidents,Single-Place Caisson
Deep Brain Cavernous Malformations,Stereotactic Radiosurgery
Degenerative Diseases Of The Musculoskeletal System,South African Devil 'S Claw ( Harpagophytum Procumbens Dc )
Degenerative Painful Rheumatism,Devil 'S Claw ( Harpagophytum Procumbens )
Depression,Amitriptyline; Medication; Venlafaxine
Depressive Reactions,Physiologic Treatment
Dermatomyositis,Hdivig
Diabetes 2,Classic Oral Antidiabetic Drugs ( Sulfamides And Biguanides ); Intestinal Glycosidases Inhibitors; Thiazolidendiones
Diabetes Mellitus,Aspirin Therapy; Intensive Insulin Treatment; Pyrazinamide
Diabetic Foot Infection,Granulocyte-Colony Stimulating Factor
Diabetic Retinopathy,Danaparoid Sodium
Diarrhea,Antimicrobials
Diastolic Left Ventricular ( Lv ) Dysfunction,Dialysis
Difficult Airways,One-Lung Ventilation
Digital Ring Block,Bupivacaine; Lignocaine
Discrete Parotid Lump,Fine Needle Aspiration Cytology
Disseminated Malignant Melanoma,"Leukocyte A Recombinant Interferon ( Rifn-Alpha A , Roferon-A , Hoffmann La Roche ); Recombinant Leukocyte A Interferon ( Rifn-Alpha A )"
Distant Lesions,Gks
Dog Bite,Antibiotics
Dosage-Dependent Hepatotoxicity,N-Acetylcysteine ( And Some Other Sulfhydryl Donors )
Drug-Induced Hepatitis,Corticosteroids
Drug-Induced Psychosis In Parkinson 'S Disease,Low-Dose Clozapine
Ductal Carcinoma,Breast-Conserving Treatment; Radiotherapy
Dumping Syndrome,Pyloroplasty
Dysphagia And Respiratory Symptoms,Stent Therapy
Early Bos,Extracorporeal Photopheresis
Early Parkinson 'S Disease,"Dopaminergic Therapy; Ropinirole; Ropinirole , A Nonergoline D2-Dopamine Agonist; Ropinirole Monotherapy"
Early Postinfarction Unstable Angina,Coronary Angioplasty
Early-Stage Nsclc,Chemotherapy
Echinococcus Multilocularis,Chemotherapy With Praziquantel
Ectopia Lentis,Surgery
Efferent Phase Of Established Asthma,Augmenting Down-Regulatory Th1 Counterbalancing Mechanisms
Eimeria Infections,Chemotherapy
Eisenmenger 'S Syndrome,Laparoscopic Cholecystectomy
Electrolyte Abnormalities,Pn
Emphysema,Lung Volume Reduction Surgery
Empyema,Thoracoscopy
End-Stage Renal Disease,Continuous Arterio-Venous Hemofiltration; Dialysis
"Endocarditis , Meningitis And Probably Infection In Neutropenic Patients","Combination Of A Cell Wall-Active Antibiotic To Which The Enterococcus Is Susceptible ( Ie , Certain Beta-Lactams Or Vancomycin ) Plus An Aminoglycoside ( Ie , Gentamicin Or Streptomycin )"
Endoluminal Hemoptysis,Apc
Endometrial Hyperplasia,Clomiphene Citrate
Endometriosis,Catheter Treatment; Endoscopic Intervention; Laparoscopic Removal; Laparoscopic Treatment; Laser Treatment
Epidermal Damage,Tocopherol
Epidermolysis Bullosa Acquisita,Hdivig
Epilepsy,Methylphenidate
Episodic Tension-Type Headache,Spinal Manipulation
Epithelial Ovarian Cancer,Chemotherapy; High-Dose Chemotherapy With Autologous Stem-Cell Support
Erythema,Indomethacin
Esophageal Achalasia,Botulinum Toxin Injection; Laparoscopic Myotomy; Pneumatic Dilation
Esophageal And Tracheobronchial Stenoses,Stent; Stents
Esophageal Cancer Involving The Tracheobronchus,Covered Metallic Stent
Esophageal Stenoses,Metallic Stents
Esophagorespiratory Fistulas,Covered-Ems
Essential Hypertension,"Endothelin-Receptor Antagonist , Bosentan; Moxonidine"
Essential Thrombocytosis,Hydroxyurea Therapy
Exercise-Induced Asthma,Salmeterol Treatment
Extensive Burns,Reconstructive Surgery
Extensive-Disease Small-Cell Lung Cancer,Irinotecan And Cisplatin Combination; Irinotecan In Combination With Cisplatin ( Platinol )
Extra-Thoracic Micrometastases,Intensive Chemotherapy
Extrahepatic Bile Duct Carcinomas,Resection
Extrathoracic Metastases ( Oligometastases ),Chemotherapy Of Supportive Care; Resection Of Their Metastases And The Primary Site; Surgery
Extratunical Haematomata,Fine Needle Aspiration
Failed Silicone Implant Arthroplasty,Arthrodesis Of The First Metatarsophalangeal Joint
Failing Liver,Liver-Assist Devices
Fap,Dha-Concentrated Fish Oil Capsules_Hlk427554600 ( 2.2 G Of Dha And 0.6 G Of Eicosapentanoic Acid ( Epa ) Per Day )
Fatal Acute Haemolysis,Lindinavir
Female Stress Urinary Incontinence,Surgical Management; Surgical Procedures; Surgical Treatment
Flu-Like Symptoms,Low-Dose Steroids
Foot Infection In Diabetic Patients,G-Csf Treatment
Foot-And-Mouth Disease,All-D Retro Peptide
Forehead Soft Tissue Mass,Endoscopic Removal
Frontal Dysfunction,Tha
Fulminant Reactivated Hbv Infection,Chemotherapy
Fulminant Reactivated Hepatitis B Infection,Intensive Therapy; Lamivudine
Fungal Infections,"Two Triazole Antifungal Agents , Fluconazole And Itraconazole"
Gallstones,Interventional Radiologic Procedures; Percutaneous Cholecystostomy And Gallstone Removal
Gastric Cancer,Billroth Ii Subtotal Gastrectomy
Gastric Cancer Or Peptic Ulcer,Gastrectomy
Gastroduodenal Ulcer,Partial Gastrectomy With Roux-En-Y Gastrojejunostomy
Gastroesophageal And Duodenogastric Reflux,Cholecystectomy
Gastrointestinal Bleedings,Short-Acting Dihydropyridines
Gastrointestinal Tumours,Elective Surgery
Genital Hsv-2 Infection,Recombinant Glycoprotein Vaccine
Gh-Producing Tumors,Peri- And Postoperative Management
Glaucoma,Brimonidine Tartrate; Timolol
Gleason Grade Prostate Carcinoma,45-Gray External Beam Irradiation; Transperineal Sonography-Guided Iodine-125 Brachytherapy
Groin Hernia,Surgery
Growth Hormone ( Gh ) Deficiency,Gh Therapy
Gunshot Wounds To The Abdomen,Exploratory Celiotomy
Habitual Shoulder Dislocation,Surgical Treatment
"Haematological , Renal And Neurological Toxicities",Amifostine
Haemophilus Influenzae Meningitis,Protein-Conjugated H. Influenzae Vaccines
Haemophilus Influenzae Type B,Conjugated Vaccine; Vaccine; Vaccines
Hairy Cell Leukemia,Antileukemic Therapy
Hbv,Chemotherapy Treatment; Lamivudine
Head And Neck Cancer,Amifostine; Irradiation Therapy; Radiation Therapy
Head Lice,1 % Permethrin; Permethrin And Malathion
Hearing And Receptive Language Disorders,Ecmo
Hearing Loss,Ecmo
Heart Disease,Folate
Heart Failure,Beta-Blockade Therapy
Heart Failure And Chronic Atrial Fibrillation,Atrioventricular Junction Ablation And Vvir Pacemaker; Pharmacological Treatment
Heartburn And Regurgitation,Pharmaceutically Combined With Life Style Counselling
Helicobacter Pylori Infection,Antibiotic Treatment
Hemangiomas,Nd : Yag Laser Treatment
Hemolytic Aggravation,Washed Red Blood Cells Transfusion
Hemolytic Crisis,Washed Red Blood Cells
Hemorrhage,Microcoil Embolization
Hemorrhagic Stroke,Alteplase
Henoch-Schãƒâ¶Nlein Purpura,Endoscopic Hemostasis
Hepatic Metastases,Chemotherapy; Resection
Hepatic Neoplasms,Mr-Guided Rfa Using Single Cooled Tip Electrodes
Hepatitis A And B,Twinrix; Vaccine
Hepatitis A Virus,Immunization
Hepatitis A Virus ( Hav ),Immunoadhesin Containing The Cysteine-Rich Region Of Hav Cellular Receptor-1
Hepatitis Accompanying Cholestasis,Tj-135
Hepatitis B,Dna Vaccine; Interferon; Vaccine
Hepatitis C,Interferon Treatment
Hepatitis C Viremia,Ribavirin; Ribavirin In Combination With Ifn Alpha
Hepato-Biliary Dysfunction And Digestive Complaints,Artichoke Extracts ( Cynara Scolymus L. )
Hereditary Phaeochromocytoma,Adrenal-Sparing Surgery
Hib,Vaccine
Hiccups,Nerve Stimulator
High-Grade Non-Hodgkin 'S Lymphoma,Intensive Therapy; Lamivudine
Hirshsprung 'S Disease,Anal Invasive Treatment
Hiv,Antiretroviral Agents
Hiv Infection,Condoms; Nonoxynol-9; Thalidomide
Hiv-1,Antiretroviral Therapy ( Haart )
Hiv-1 Infection,Antiretroviral Treatment
Hodgkin 'S Disease,Abvd; Interferon-Alpha-2B; Mopp/Abv
Horizontal Deviations In Seven Cases Of Sixth Nerve Palsy And Three Cases Of Third Nerve Palsy,Supramaximal Medial And Lateral Rectus Surgery
Human Cholangiocarcinoma,Trail
Human Colorectal Cancer,N-3 Polyunsaturated Fatty Acids
Human Retinoblastoma,Gene Therapy
Hydatid Cysts,Percutaneous Drainage
Hydatid Disease,Thoracic Surgery
Hydrocele And Cysts Of The Epididymis,Sclerosing Injections Of Quinine And Urea Chlorhydrolactate
Hyperammonemia,Chemotherapy; Lung Transplantation; Organ Transplantation
Hypercholesterolaemia,Fluvastatin
Hyperopia,Excimer Laser Assisted In Situ Keratomileusis
Hypersplenism,Splenectomy
Hypertension,Ascorbic Acid; Calcium Antagonists; Moxonidine
Hyperthyroid Patients,Iodine I-131
Hypertrophic Obstructive Cardiomyopathy,Echocardiography-Guided Ethanol Septal Reduction
Hypertrophic Obstructive Cardiomyopathy ( Idiopathic Hypertrophic Subaortic Stenosis ),Surgery
Hyponatremia,Venlafaxine
Hypophosphatemia,Pn
Hypoplasia,Corrective Surgery
Idiopathic Constipation,Cisapride
Idiopathic Membranous Nephropathy,Azathioprine And Prednisolone
Idiopathic Thrombopenic Purpura,Intravenous Immunoglobulin
Ileocolic Anastomosis,Ranitidin
Ileocolonic Anastomotic Recurrence In Crohn 'S Disease,Surgical Management
Immune Deficiency,Recombinant Interferon Alfa-2A
Incontinence,Anal Invasive Treatment
Infant Rsv Bronchiolitis,Inhaled Corticosteroid Treatment
Infection,"Antibiotics; Antimicrobial Treatment; Antiseptic Mouthwashes; Omeprazole , Amoxicillin , And Clarithromycin"
Infection With Echinococcus Multilocularis,Anthelminthic Treatment; Praziquantel
Infection With H. Pylori,"Combination Of Omeprazole , Amoxicillin , And Clarithromycin"
Infection With Listeria Monocytogenes,Ampicillin
Infections Associated With Gangrenous And Perforated Appendicitis,Imipenem/Cilistatin; Ticarcillin/Clavulanate
Infectious Mononucleosis,Corticosteroid Therapy
Infertility,Donor Insemination; Intrauterine Insemination
Inflammation,Injection
"Inflammation Of The Oral Mucosa , Blenorrhea , Asthmatic Bronchitis And Nasal Congestion",Sida Cordifolia L. ( Malvaceae )
Inflammatory And Autoimmune Diseases,High-Dose Intravenous Immunoglobulin ( Hdivig )
Inflammatory Nonspecific Alveolar Lesions Suggestive Of Bronchiolitis Obliterans Organizing Pneumonia,Oral Corticosteroids
Inflammatory Reactions,Antiretroviral Therapy ( Haart )
Inflammatory Skin Diseases,Topical Corticosteroids
Influenza,Antiviral Agents; Conjugate Pneumococcal Vaccine; Immunizations; Vaccination; Vaccine; Zanamivir
Influenza A Virus,"Intravenous Injection Of Pb2-As , As A Complex With Dmrie-C , A Cationic Liposome"
Influenza Disease,Vaccination
Influenza Flu,Zanamivir
Influenza Prevention And Treatment,Amantadine; Oseltamivir; Rimantadine; Zanamivir
Influenza-Associated Acute Encephalopathy,Combination Of Mild Hypothermia And Steroid Pulse Therapy
Infratentorial Malformations,Microsurgical Treatment
Inoperable Advanced Malignancies Such As Colorectal Cancer,Leucovorin Or Cisplatin; Uft
Inoperably Disseminated Renal Carcinoma And Lung Metastases,Immunotherapy
Interstitial Pregnancy,Laparoscopic Cornuostomy
Intraabdominal Infections,Ampicillin-Sulbactam; Cefoxitin
Intracranial Hemorrhage,Double-Bolus Method
"Intractable , Nonmalignant Pain",Chronic Intrathecal Morphine
Intractable Rheumatoid Arthritis,"Antilymphocyte Globulin ( Alg ) , Prednisolone And A Cytotoxic Agent , Usually Azathioprine"
Intractable Seizures,Ketogenic Diet
Intraluminal Early-Stage Cancer,"Photodynamic Therapy , Nd-Yag Laser And Electrocautery"
Intrathoracic Relapse And Severe Obstruction Of Main Bronchus And/Or Superior Caval Vein,Radiotherapy
Invasive Disease,Vaccine
Invasive Disease Caused By Seven Streptococcus Pneumoniae Serotypes,Vaccine
Invasive Pneumococcal Diseases,Protein-Polysaccharide Conjugate Vaccine
Iodixanol,Abdominal Angiography
Irritable Bowel Syndrome,Chinese Herbal Medicine
Ischemic Heart Disease,Aortocoronary Bypass Grafting; Dobutamine
Isoniazid-Rifampicin Susceptible Tuberculosis,Pyrazinamide
Jaw Clenching,Gamma Knife Treatment
Kaposi 'S Sarcoma,Recombinant Interferon Alfa-2A
Kidney Failure In Type I Diabetic Patients,Combined Pancreas-/Kidney Transplantation
Ks,Highly Active Antiretroviral Therapy ( Haart )
Kwashiorkor,Fish Protein Concentrates
Labor,Intrathecal Sufentanil
Lactose Intolerance,Lactobacillus Acidophilus Bg2Fo4
Large Cell Neuroendocrine Carcinoma ( Lcnec ),Lung Resection
Large Meningomyelocele,Corrective Surgery
Large Midline Incisional Hernias,Autologous Repair
Large-Bowel Cancer,Oral Lv; Oral Uft
Lateral Epicondylitis,Steroids
Laugier-Hunziker Syndrome,Q-Switched Nd-Yag Laser
Ld Sclc,Pci
Left Cardiac Herniation,Intrapericardial Pulmonectomy
Lens Dislocation,Extraction
Lesion,Video-Assisted Thoracoscopic Surgery
Limb Aplasia,Corrective Surgery
Limited Disease Small-Cell Lung Cancer ( Ld Sclc ),Prophylactic Cranial Irradiation ( Pci )
Limited Small Cell Lung Cancer,Etoposide-Ifosfamide-Cisplatin And Concurrent Thoracic Irradiation
Limited Stage Small Cell Lung Cancer,Vip Combination Chemotherapy And Early Concurrent Thoracic Irradiation
Limited Staged Small Cell Lung Cancer,Addition Of Thoracic Irradiation To Combination Chemotherapy
Limited-Stage Small-Cell Carcinoma Of The Lung,Combined-Modality Therapy
Locally Advanced And Metastatic Non-Small-Cell Lung Cancer ( Nsclc ),Noncisplatin Combination Of Paclitaxel Plus Gemcitabine
